"","HCLTECH.NS.Open","HCLTECH.NS.High","HCLTECH.NS.Low","HCLTECH.NS.Close","HCLTECH.NS.Volume","HCLTECH.NS.Adjusted"
"473",563.900024414062,567.049987792969,558.650024414062,560.299987792969,1659752,475.642852783203
"474",562.549987792969,563.200012207031,547,552.049987792969,2192234,468.639434814453
"475",552.049987792969,554.900024414062,541.799987792969,544.450012207031,1628853,462.187744140625
"476",545,549.900024414062,539.450012207031,543.799987792969,2387958,461.635864257812
"477",547.299987792969,547.799987792969,535.049987792969,536.349975585938,2061911,455.311584472656
"478",538,545,536.799987792969,543.150024414062,2889796,461.084106445312
"479",546,554.950012207031,545.049987792969,552.200012207031,4590144,468.766845703125
"480",555.5,559,552.5,557.75,3852266,473.478057861328
"481",560,566.950012207031,559,564.700012207031,4618387,479.378143310547
"482",565.5,574,564.75,569.5,3465644,483.452941894531
"483",573.5,573.75,565.5,569.900024414062,3135806,483.79248046875
"484",567.5,575.549987792969,566.549987792969,570.950012207031,1591463,484.683624267578
"485",572,572.650024414062,559.299987792969,560.549987792969,2354963,475.855072021484
"486",561.650024414062,565,559.549987792969,560.5,1848547,475.812744140625
"487",562.950012207031,569,557,567.549987792969,2786795,481.797546386719
"488",567,577.5,564.25,569.299987792969,1800754,483.283111572266
"489",569.099975585938,571.5,565.049987792969,568.099975585938,1838808,482.264465332031
"490",569.400024414062,572.900024414062,566.849975585938,571.950012207031,918373,485.53271484375
"491",572.549987792969,575,570.5,573.549987792969,1075642,486.890838623047
"492",574,588.5,572.849975585938,585.049987792969,3269446,496.653472900391
"493",585,592.200012207031,579.450012207031,582,3589985,494.064178466797
"494",582,587.75,579.049987792969,584.25,3179728,495.974151611328
"495",583,593,578,585.75,3593096,497.247711181641
"496",586,588.150024414062,579.25,580.299987792969,2313648,492.621154785156
"497",582,589.799987792969,577.400024414062,580.349975585938,2049636,492.663543701172
"498",583.950012207031,590,581,586.5,4096054,497.88427734375
"499",587.200012207031,597.400024414062,587.150024414062,594.299987792969,3395378,504.505798339844
"500",597,598.299987792969,591.700012207031,595.75,2348102,505.736724853516
"501",597,598.299987792969,586.75,593.25,2107442,503.614593505859
"502",585,602,585,598.799987792969,4555694,508.325866699219
"503",618,618,584.099975585938,589.25,10272118,500.218872070312
"504",589.299987792969,593.25,582.349975585938,584.049987792969,2640668,495.804504394531
"505",585.200012207031,595,581.5,590.650024414062,4402650,501.407318115234
"506",590.099975585938,599.950012207031,587,598.950012207031,6089397,508.453216552734
"507",599,609,595.5,607.700012207031,3551260,517.609619140625
"508",607.700012207031,608,601.75,604.349975585938,2450421,514.756164550781
"509",607.299987792969,607.349975585938,592.599975585938,601.450012207031,5330709,512.286071777344
"510",605,611.5,602.200012207031,608.849975585938,4281329,518.588989257812
"511",612,613.849975585938,603.650024414062,607.849975585938,3334901,517.7373046875
"512",607.849975585938,608.900024414062,589.599975585938,591.400024414062,3590768,503.725982666016
"513",591.400024414062,593.650024414062,577.5,579.099975585938,4024193,493.249420166016
"514",583,589.25,582.5,586.5,3246094,499.552368164062
"515",589.400024414062,598.5,586,595.599975585938,3006324,507.303192138672
"516",598.950012207031,613,598,599.700012207031,4704968,510.795562744141
"517",601.650024414062,609.200012207031,599.150024414062,607.700012207031,2865379,517.609619140625
"518",608.900024414062,611.549987792969,601.650024414062,604.900024414062,2286213,515.224670410156
"519",606,613.75,605.700012207031,610.650024414062,2458748,520.122253417969
"520",613,620.5,610.299987792969,614.099975585938,4873027,523.060791015625
"521",612,613.950012207031,604.049987792969,612.450012207031,2090363,521.655334472656
"522",612.450012207031,623.25,612.25,621.650024414062,3650630,529.491516113281
"523",623,623.5,612.349975585938,613.450012207031,2190578,522.507080078125
"524",613.450012207031,615.799987792969,605.150024414062,607.049987792969,5237465,517.055969238281
"525",614.450012207031,618.25,604,605.75,3799862,515.948669433594
"526",611,612.950012207031,605.150024414062,608.049987792969,4820313,517.907592773438
"527",608,609,591.5,595.150024414062,4070143,506.920043945312
"528",595.5,595.700012207031,575,582.450012207031,5525575,496.102722167969
"529",576.900024414062,589.049987792969,575.5,583.599975585938,5460070,497.082244873047
"530",582.099975585938,582.400024414062,568,573.049987792969,4078174,488.096282958984
"531",560,564,531.200012207031,534.349975585938,7894806,455.133514404297
"532",541.049987792969,565.849975585938,537.849975585938,549.700012207031,8175982,468.207855224609
"533",556,568.75,555,565.049987792969,4682284,481.282318115234
"534",569,575.400024414062,561,563.099975585938,5175180,479.621337890625
"535",568,581.900024414062,563.150024414062,576.400024414062,6061347,490.94970703125
"536",570,573.950012207031,559.549987792969,566.200012207031,3288548,482.261871337891
"537",555,558,536.450012207031,540.450012207031,3699776,460.329254150391
"538",526.75,542.650024414062,514,536.799987792969,4850031,457.220336914062
"539",521,527.799987792969,486.350006103516,493.350006103516,5321388,420.211730957031
"540",460,517.25,395.950012207031,492.899993896484,6859998,419.828430175781
"541",469,479.799987792969,446.850006103516,450.700012207031,5281571,383.884490966797
"542",450,478.600006103516,443.350006103516,450.649993896484,5148153,383.841857910156
"543",455,464.799987792969,429.049987792969,434.25,4936397,369.873138427734
"544",418.899993896484,434.600006103516,375.25,413.450012207031,9270044,352.156799316406
"545",413.5,461.950012207031,411.850006103516,444.899993896484,11916337,378.944396972656
"546",415,444,400.450012207031,417.149993896484,9525470,355.308288574219
"547",413,458.850006103516,411.850006103516,442.049987792969,9915953,376.516784667969
"548",432,468,417.75,457.600006103516,11976272,389.761596679688
"549",461.100006103516,466.75,441.100006103516,447.700012207031,9504717,381.329284667969
"550",450.25,457.450012207031,420.5,430.649993896484,9150873,366.806854248047
"551",410,438.649993896484,410,419,6325701,356.883941650391
"552",433.200012207031,449.399993896484,425.299987792969,436.399993896484,6381806,371.704376220703
"553",433,433.200012207031,408.200012207031,413.549987792969,8136746,352.241943359375
"554",418.899993896484,428.600006103516,399.299987792969,405.799987792969,8166356,345.640808105469
"555",425,457.950012207031,425,451.149993896484,5972948,384.267761230469
"556",451,476.799987792969,449,463.100006103516,7991061,394.4462890625
"557",480.700012207031,481,462,469.049987792969,5069225,399.514221191406
"558",470,471,454,458.25,2236731,390.315246582031
"559",470,482,462.700012207031,478.75,6333188,407.776214599609
"560",473,476,456.700012207031,459.75,10484842,391.592864990234
"561",470,475,453.649993896484,455.25,4706460,387.759918212891
"562",458,473.600006103516,453.5,470,4800719,400.323272705078
"563",458,464.950012207031,447.850006103516,455.700012207031,3405204,388.143310546875
"564",453,469.450012207031,450,462.399993896484,3768051,393.850036621094
"565",465,480.75,462.399993896484,477.700012207031,3052968,406.881805419922
"566",480,496.899993896484,465.149993896484,468.100006103516,6738184,398.704986572266
"567",473.100006103516,485.700012207031,467.25,483.100006103516,2914569,411.481262207031
"568",489,489,469.450012207031,471.100006103516,4262237,401.260284423828
"569",474.799987792969,501,470.200012207031,491.75,3849090,418.848968505859
"570",506.5,565.5,501,543.549987792969,8035267,462.969635009766
"571",527.5,527.5,508.200012207031,514.25,7032527,438.013336181641
"572",526,529.900024414062,515.650024414062,520.400024414062,4592828,443.251647949219
"573",512.200012207031,526.700012207031,506.200012207031,519.099975585938,6921533,442.144317626953
"574",530,541.799987792969,507.549987792969,511.75,19998641,435.883941650391
"575",520.849975585938,522.5,502.399993896484,518.400024414062,10120968,441.548156738281
"576",526,534.900024414062,521.200012207031,527.549987792969,4425540,449.341583251953
"577",525.450012207031,540,520,527.400024414062,6439945,449.213928222656
"578",539.849975585938,539.849975585938,521.549987792969,528.75,3502017,450.36376953125
"579",519.400024414062,527.549987792969,514.349975585938,517.450012207031,3741672,440.738983154297
"580",517.950012207031,517.950012207031,505.25,511.25,4895121,435.458099365234
"581",514.700012207031,518.650024414062,507.5,510.75,5159655,435.032196044922
"582",512,520.5,506.200012207031,518.25,3966934,441.420379638672
"583",515.049987792969,528.650024414062,515,526.75,3138708,448.660247802734
"584",529.799987792969,537.5,523.400024414062,534.849975585938,4523685,455.559448242188
"585",533.650024414062,535,523,530.400024414062,6410434,451.769256591797
"586",530,536.5,520.25,524,4055691,446.31787109375
"587",529.700012207031,533.900024414062,516,530.950012207031,4828798,452.237609863281
"588",531,546,523,542.650024414062,4492767,462.203094482422
"589",540,555,536.700012207031,550.25,7853755,468.67626953125
"590",557,573.400024414062,555.5,559.75,4503261,476.768005371094
"591",559.299987792969,567.75,550,560.200012207031,2930058,477.1513671875
"592",564,568.400024414062,557,562.799987792969,4202273,479.365905761719
"593",565,583.700012207031,559,578.950012207031,5315353,493.121765136719
"594",585,587.150024414062,572.5,575.950012207031,3995824,490.566467285156
"595",579.150024414062,583.5,571.049987792969,578.25,3771973,492.525360107422
"596",574.150024414062,583.599975585938,570,572.849975585938,3812291,487.926025390625
"597",575,587.5,573.599975585938,578.700012207031,6491708,492.908843994141
"598",580,584.900024414062,574.099975585938,578.049987792969,4975680,492.355010986328
"599",555.200012207031,578.700012207031,555.200012207031,570.75,6624056,486.137298583984
"600",574.799987792969,581,563.700012207031,578.950012207031,3787100,493.121765136719
"601",585,593.5,578.400024414062,580.900024414062,4728405,494.782531738281
"602",580,581.849975585938,573,575.849975585938,3572351,490.481201171875
