,BHARTIARTL.NS.Open,BHARTIARTL.NS.High,BHARTIARTL.NS.Low,BHARTIARTL.NS.Close,BHARTIARTL.NS.Volume,BHARTIARTL.NS.Adjusted
39,387.5406189,387.5406189,379.2941284,381.3670044,4071745,368.9894104
40,383.7553406,389.9289551,382.4034424,387.9912415,5188255,375.3986816
41,387.5406189,390.6950378,383.845459,386.2337952,25920217,373.6982422
42,386.6844177,393.4889221,383.7102661,385.5127869,5837005,373.0006714
43,384.7917786,384.9269714,376.3650208,379.8348694,3863655,367.5070496
44,381.8627014,385.4226685,370.0562439,373.0303955,4204736,360.9234314
45,370.1012878,375.1933899,352.6169128,363.3869324,12064643,351.592926
46,370.8673706,373.2106323,355.9966125,361.67453,8664079,349.9360962
47,364.9190674,368.1636047,358.2948303,362.4406128,5093353,350.6772766
48,365.0091858,382.5837097,364.1079407,379.9249878,8387164,367.5942383
49,381.2318115,387.3603821,378.6632385,384.2059631,5712773,371.7362366
50,383.845459,383.845459,377.2212219,380.8713074,4194515,368.5098267
51,380.8713074,382.4034424,376.0495911,378.9336243,3636202,366.6350708
52,374.2470703,384.6115417,372.8050537,375.5989685,8030364,363.4085999
53,376.7255249,379.9700623,357.5287476,360.1874695,6000592,348.4973145
54,359.6016541,363.6573181,353.9237366,360.8634033,8280683,349.1512756
55,363.206665,378.6632385,362.4856873,376.9057922,9266412,364.6730652
56,373.1205139,378.7533569,371.4081116,374.5625305,5382163,362.4058228
57,371.9038086,377.5817261,365.1894531,371.9488831,5696201,359.8770142
58,371.3179932,381.2318115,366.4512024,379.8799438,4884776,367.5506592
59,380.3305664,380.6910706,367.893219,372.3995056,6746611,360.3129883
60,370.416748,372.2643127,356.3571167,359.3312683,11413279,347.6689148
61,360.0522766,362.0801086,351.9409485,356.086731,5533293,344.5296936
62,352.6169128,364.1079407,352.6169128,362.4856873,5059176,350.7209473
