"","COFORGE.NS.Open","COFORGE.NS.High","COFORGE.NS.Low","COFORGE.NS.Close","COFORGE.NS.Volume","COFORGE.NS.Adjusted"
"620",1594.44995117188,1632,1578.5,1587,638390,1500.52209472656
"621",1583.5,1616,1534.94995117188,1541.94995117188,442786,1457.9267578125
"622",1558.55004882812,1696.09997558594,1558.5,1688.25,2087733,1596.2548828125
"623",1710.69995117188,1760,1621.09997558594,1652.75,1638194,1562.689453125
"624",1652.80004882812,1699.5,1635.09997558594,1678.69995117188,611264,1587.22509765625
"625",1690,1713,1666,1692.30004882812,285365,1600.08410644531
"626",1720,1724,1660.25,1668.25,338345,1577.34460449219
"627",1674,1678.19995117188,1632.75,1647.30004882812,225606,1557.5361328125
"628",1653.90002441406,1673,1622,1635.34997558594,263689,1546.23742675781
"629",1619.94995117188,1719,1613.84997558594,1700.09997558594,1191324,1607.45922851562
"630",1710,1802.94995117188,1693.80004882812,1769.55004882812,1834260,1673.12487792969
"631",1774,1797,1725.25,1767.40002441406,1077078,1671.09191894531
"632",1811,1894.25,1772.55004882812,1862.84997558594,2979702,1761.34045410156
"633",1845,1950,1840,1936.55004882812,1366401,1831.02465820312
"634",1932,1969,1886.90002441406,1926.19995117188,1220905,1821.23864746094
"635",1922,1953.75,1897,1928.65002441406,455332,1823.55517578125
"636",1932.30004882812,1958.40002441406,1905.25,1944.44995117188,396026,1838.494140625
"637",1944.44995117188,1966.94995117188,1910.44995117188,1918.59997558594,507874,1814.05285644531
"638",1916,2039.84997558594,1916,2023.69995117188,2105727,1913.42565917969
"639",2020,2036.59997558594,1971.15002441406,1988.84997558594,804818,1880.47473144531
"640",1995,2017.09997558594,1980,1989.15002441406,278255,1880.75842285156
"641",2000,2079,1964.05004882812,1977.80004882812,1278515,1870.02673339844
"642",1975,2018.90002441406,1941.65002441406,2001.94995117188,601923,1892.86071777344
"643",2003,2044.5,1981.5,1988.34997558594,478535,1880.00231933594
"644",1999,2030,1968,1976.09997558594,338491,1868.41931152344
"645",1994.25,2049,1978.30004882812,1995.44995117188,798426,1886.71508789062
"646",2001,2028,1989,2011.5,324744,1901.89013671875
"647",2016.90002441406,2049.30004882812,2004.44995117188,2017.44995117188,403938,1907.51611328125
"648",2000,2028,1990.44995117188,2002.5,102303,1893.380859375
"649",2009.94995117188,2019.40002441406,1974.15002441406,1984.59997558594,126598,1876.45629882812
"650",1988,2000,1945.40002441406,1955.44995117188,140538,1848.89453125
"651",1958,1973.25,1931.59997558594,1943.55004882812,113492,1837.64318847656
"652",1950,1958.59997558594,1920.15002441406,1950.09997558594,102513,1843.83618164062
"653",1970,1975,1934,1940.15002441406,149884,1834.42846679688
"654",1945.19995117188,2024.44995117188,1945.19995117188,2001.44995117188,156148,1892.38781738281
"655",2020,2035,1910.09997558594,1924,190664,1819.15856933594
"656",1933.5,1949.94995117188,1880.5,1891,113377,1787.95666503906
"657",1895,1959.90002441406,1892.5,1945.94995117188,83162,1839.91235351562
"658",1965.19995117188,1992.55004882812,1942.25,1960.44995117188,153257,1853.6220703125
"659",1921,1974.69995117188,1910.90002441406,1919.09997558594,83977,1814.525390625
"660",1922,1947.15002441406,1885,1922.5,79638,1817.740234375
"661",1932,1984.90002441406,1910,1944.15002441406,225397,1838.21032714844
"662",1938,1938,1897,1909.75,94690,1805.68493652344
"663",1923,1933.15002441406,1887.90002441406,1911.75,86090,1807.57592773438
"664",1915,2102.89990234375,1915,2090.60009765625,1772890,1976.68029785156
"665",2087.30004882812,2190.14990234375,2062.80004882812,2154.69995117188,1091182,2037.28759765625
"666",2155,2173.25,2125,2144.85009765625,354301,2027.974609375
"667",2140,2199.69995117188,2131.55004882812,2181.55004882812,254579,2062.67407226562
"668",2178,2272,2156.19995117188,2257.69995117188,691066,2134.6748046875
"669",2249,2249,2184,2193.69995117188,293783,2074.162109375
"670",2205,2265.5,2083.69995117188,2102.75,743397,1988.16796875
"671",2105,2200,2057.39990234375,2161.30004882812,507593,2043.52734375
"672",2190,2242,2150,2223.39990234375,580960,2102.24340820312
"673",2210,2215.55004882812,2099.30004882812,2114.44995117188,297312,1999.23034667969
"674",2135,2325.85009765625,2114.44995117188,2304.35009765625,1170034,2178.78271484375
"675",2328.05004882812,2393,2301.19995117188,2384,625090,2254.09252929688
"676",2395,2420,2316,2330.85009765625,428100,2203.8388671875
"677",2340,2347.94995117188,2280,2322.19995117188,331363,2195.65991210938
"678",2338,2356,2305,2335.80004882812,305728,2208.5185546875
"679",2354.80004882812,2438.94995117188,2330.35009765625,2345.10009765625,558318,2217.31274414062
"680",2354.5,2414.80004882812,2322,2403.60009765625,411099,2272.62451171875
"681",2405,2429,2351.44995117188,2395.39990234375,244624,2264.87109375
"682",2450,2554.89990234375,2437.25,2467.35009765625,1017006,2332.900390625
"683",2468.94995117188,2499.94995117188,2420,2466.44995117188,328969,2332.0498046875
"684",2467,2710,2467,2667.60009765625,1741341,2522.23803710938
"685",2677.69995117188,2814,2642,2797.5,1700000,2645.06005859375
"686",2701.25,2767.19995117188,2595,2606.69995117188,1356652,2464.65673828125
"687",2631,2649.80004882812,2483.05004882812,2508.64990234375,1055096,2371.94995117188
"688",2528,2598,2467.25,2577.19995117188,1066656,2436.7646484375
"689",2588,2627.75,2518,2543.44995117188,691197,2404.85375976562
"690",2536,2635.89990234375,2523.14990234375,2576,810729,2435.6298828125
"691",2582,2618.5,2480.55004882812,2511.60009765625,640088,2374.73974609375
"692",2521.05004882812,2563.30004882812,2433.14990234375,2456.64990234375,751377,2322.78344726562
"693",2500,2533.94995117188,2340,2380.10009765625,1667509,2250.4052734375
"694",2365,2399.14990234375,2181.5,2212.14990234375,6184617,2091.60693359375
"695",2180,2273,2178.39990234375,2228.69995117188,1004134,2107.2548828125
"696",2228.69995117188,2280,2220,2242.30004882812,554275,2120.11328125
"697",2235,2255.80004882812,2170,2200.69995117188,635810,2080.78002929688
"698",2209,2278.80004882812,2165.55004882812,2205.64990234375,800257,2085.46044921875
"699",2205,2226.05004882812,2101.94995117188,2117.89990234375,429330,2002.49267578125
"700",2133.89990234375,2171.5,2077.5,2129.55004882812,688573,2013.50793457031
"701",2142.10009765625,2229.39990234375,2142.05004882812,2183.75,832575,2064.75463867188
"702",2222,2229,2180,2197.75,357307,2077.9912109375
"703",2209.25,2222.80004882812,2180.69995117188,2218.05004882812,391952,2097.18530273438
"704",2246.30004882812,2339,2226.25,2330.14990234375,1026412,2203.1767578125
"705",2340,2346,2210.69995117188,2223.89990234375,758606,2102.71606445312
