"","MPHASIS.NS.Open","MPHASIS.NS.High","MPHASIS.NS.Low","MPHASIS.NS.Close","MPHASIS.NS.Volume","MPHASIS.NS.Adjusted"
"415",994,997,981,990.200012207031,169049,879.7822265625
"416",992,994.75,983.099975585938,986.950012207031,34304,876.894653320312
"417",987.900024414062,992,977.200012207031,990.099975585938,137322,879.693359375
"418",986.5,993.799987792969,985.099975585938,990.400024414062,73954,879.9599609375
"419",987.349975585938,989.950012207031,975.75,980.900024414062,93762,871.519287109375
"420",981.799987792969,987.950012207031,974,983.849975585938,54901,874.140258789062
"421",985,985.299987792969,956.349975585938,967.549987792969,110789,859.657897949219
"422",970.849975585938,990.900024414062,961,972.549987792969,200626,864.100463867188
"423",974.900024414062,979.200012207031,945.299987792969,958,290786,851.172912597656
"424",964.549987792969,982.349975585938,938.299987792969,966.099975585938,230806,858.36962890625
"425",972,972,945.25,959.200012207031,105233,852.239074707031
"426",957.049987792969,958.950012207031,941.099975585938,946.549987792969,202791,840.999572753906
"427",947,955,935,938.400024414062,43081,833.758422851562
"428",940.5,964.200012207031,935.25,957,351372,850.284362792969
"429",957.099975585938,962.950012207031,934.400024414062,937.450012207031,583671,832.914428710938
"430",940,944.75,936.200012207031,937.75,173642,833.180908203125
"431",940,947.549987792969,936,938.700012207031,256231,834.025024414062
"432",946.700012207031,959.25,935.150024414062,953.450012207031,277972,847.130249023438
"433",951.599975585938,951.599975585938,924.200012207031,929.400024414062,264606,825.762084960938
"434",929.900024414062,939,900.049987792969,909.200012207031,408474,807.814575195312
"435",914.450012207031,914.450012207031,880.099975585938,884.099975585938,377223,785.513549804688
"436",889.150024414062,909,887,904.650024414062,107137,803.77197265625
"437",901,922.950012207031,901,921.5,114430,818.743041992188
"438",917,925,909,921.75,45483,818.965148925781
"439",924,924.950012207031,917.099975585938,923.650024414062,49462,820.653259277344
"440",924.950012207031,943,918.049987792969,935.849975585938,187638,831.492797851562
"441",920,927.849975585938,902.5,915.150024414062,108447,813.10107421875
"442",910.5,938,910.5,927.299987792969,183316,823.896240234375
"443",921.549987792969,942.849975585938,898.5,927.400024414062,340867,823.985107421875
"444",931.75,948.950012207031,921,944.75,122543,839.400329589844
"445",944,944,927,937.150024414062,3979,832.647888183594
"446",944,955.900024414062,921.900024414062,948.799987792969,100150,842.998779296875
"447",948,948,933.099975585938,939.75,203000,834.957946777344
"448",935.150024414062,957,935,950.25,299095,844.287048339844
"449",945.099975585938,954.950012207031,942.450012207031,951.849975585938,59602,845.708679199219
"450",951.200012207031,954.75,935.450012207031,938.950012207031,74942,834.247192382812
